adapter_mode,batch_index,category,checkpoint_path,dataset,eval_shot,experiment_name,failure_type,label,row_index,score,train_shot,type
local_only,24,elpv,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,elpv,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_positive_candidate,0,3,0.7363830804824829,2,elpv
local_only,25,elpv,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,elpv,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_positive_candidate,0,3,0.7322204113006592,2,elpv
local_only,31,elpv,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,elpv,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_positive_candidate,0,3,0.730667769908905,2,elpv
local_only,27,elpv,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,elpv,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_positive_candidate,0,3,0.7287193536758423,2,elpv
local_only,4,elpv,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,elpv,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_positive_candidate,0,3,0.7243378758430481,2,elpv
local_only,35,AITEX,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/8/checkpoint,aitex,8,InCTRL_trained_on_MVTec_VA_ablation/local_only/8-shot,false_positive_candidate,0,6,0.7220727801322937,8,AITEX
local_only,6,elpv,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,elpv,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_positive_candidate,0,3,0.7218195199966431,2,elpv
global_local,5,elpv,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_local/4/checkpoint,elpv,4,InCTRL_trained_on_MVTec_VA_ablation/global_local/4-shot,false_positive_candidate,0,7,0.7215030193328857,4,elpv
local_only,32,elpv,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,elpv,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_positive_candidate,0,3,0.7195804119110107,2,elpv
global_local,35,AITEX,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_local/8/checkpoint,aitex,8,InCTRL_trained_on_MVTec_VA_ablation/global_local/8-shot,false_positive_candidate,0,6,0.7185234427452087,8,AITEX
local_only,10,chewinggum,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,visa,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_negative_candidate,1,1,0.007611566223204136,2,chewinggum
local_only,10,chewinggum,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,visa,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_negative_candidate,1,0,0.008001078851521015,2,chewinggum
local_only,75,elpv,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,elpv,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_negative_candidate,1,1,0.008118662983179092,2,elpv
local_only,85,AITEX,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,aitex,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_negative_candidate,1,0,0.009047465398907661,2,AITEX
local_only,17,chewinggum,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,visa,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_negative_candidate,1,0,0.009185027331113815,2,chewinggum
local_only,84,AITEX,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,aitex,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_negative_candidate,1,0,0.009342512115836143,2,AITEX
local_only,85,AITEX,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,aitex,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_negative_candidate,1,1,0.009622089564800262,2,AITEX
local_only,76,elpv,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,elpv,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_negative_candidate,1,0,0.00974612683057785,2,elpv
local_only,16,pipe_fryum,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,visa,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_negative_candidate,1,0,0.009800693951547146,2,pipe_fryum
local_only,17,candle,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,visa,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,false_negative_candidate,1,1,0.009856886230409145,2,candle
