model,train_dataset,test_dataset,shot,seed,category,auroc,aupr
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,candle,0.9597,0.9643
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,capsules,0.8567,0.9205
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,cashew,0.9556,0.9786
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,chewinggum,0.9786,0.9912
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,fryum,0.9422,0.9772
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,macaroni1,0.9019,0.9116
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,macaroni2,0.7905,0.7985
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,pcb1,0.8162,0.8434
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,pcb2,0.856,0.8569
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,pcb3,0.887,0.8859
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,pcb4,0.9148,0.9013
mvtec_va_ta_pqa_2shot,mvtec,visa,2,42,pipe_fryum,0.9938,0.9967
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,candle,0.9639,0.9676
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,capsules,0.8688,0.9238
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,cashew,0.9458,0.9767
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,chewinggum,0.9842,0.9935
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,fryum,0.9586,0.983
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,macaroni1,0.9005,0.9123
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,macaroni2,0.7765,0.8016
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,pcb1,0.8247,0.8209
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,pcb2,0.8487,0.8424
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,pcb3,0.8602,0.866
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,pcb4,0.921,0.9151
mvtec_va_ta_pqa_2shot,mvtec,visa,2,123,pipe_fryum,0.9922,0.996
mvtec_va_ta_pqa_2shot,mvtec,visa,2,7,candle,0.9684,0.9706
mvtec_va_ta_pqa_2shot,mvtec,visa,2,7,capsules,0.8585,0.9168
mvtec_va_ta_pqa_2shot,mvtec,visa,2,7,cashew,0.9618,0.9823
mvtec_va_ta_pqa_2shot,mvtec,visa,2,7,chewinggum,0.9824,0.9924
mvtec_va_ta_pqa_2shot,mvtec,visa,2,7,fryum,0.9564,0.9823
mvtec_va_ta_pqa_2shot,mvtec,visa,2,7,macaroni1,0.8754,0.8889
mvtec_va_ta_pqa_2shot,mvtec,visa,2,7,macaroni2,0.8043,0.8068
mvtec_va_ta_pqa_2shot,mvtec,visa,2,7,pcb1,0.8088,0.8101
mvtec_va_ta_pqa_2shot,mvtec,visa,2,7,pcb2,0.8109,0.8191
