model,train_dataset,test_dataset,shot,n_seeds,seeds,auroc_mean,auroc_std,aupr_mean,aupr_std,baseline_auroc,delta_vs_baseline
mvtec_va_ta_pqa_2shot,mvtec,visa,2,3,"[42, 123, 7]",0.903,0.0015,0.9165,0.0019,0.858,0.045
mvtec_va_ta_pqa_2shot,mvtec,aitex,2,3,"[42, 123, 7]",0.7994,0.0058,0.5737,0.0072,0.761,0.0384
mvtec_va_ta_pqa_2shot,mvtec,elpv,2,3,"[42, 123, 7]",0.8601,0.0077,0.9322,0.0032,0.839,0.0211
mvtec_va_ta_pqa_4shot,mvtec,visa,4,3,"[42, 123, 7]",0.8916,0.0021,0.9065,0.0021,0.877,0.0146
mvtec_va_ta_pqa_4shot,mvtec,aitex,4,3,"[42, 123, 7]",0.7999,0.0007,0.5491,0.0069,0.79,0.0099
mvtec_va_ta_pqa_4shot,mvtec,elpv,4,3,"[42, 123, 7]",0.8705,0.0032,0.9387,0.0016,0.846,0.0245
mvtec_va_ta_pqa_8shot,mvtec,visa,8,3,"[42, 123, 7]",0.906,0.0018,0.9207,0.0019,0.887,0.019
mvtec_va_ta_pqa_8shot,mvtec,aitex,8,3,"[42, 123, 7]",0.8003,0.0034,0.4949,0.0116,0.806,-0.0057
mvtec_va_ta_pqa_8shot,mvtec,elpv,8,3,"[42, 123, 7]",0.8815,0.0023,0.9431,0.0011,0.872,0.0095
visa_va_ta_pqa_2shot,visa,mvtec,2,3,"[42, 123, 7]",0.9499,0.0035,0.9745,0.0011,0.94,0.0099
visa_va_ta_pqa_4shot,visa,mvtec,4,3,"[42, 123, 7]",0.9623,0.0028,0.98,0.0011,0.945,0.0173
visa_va_ta_pqa_8shot,visa,mvtec,8,3,"[42, 123, 7]",0.9728,0.0004,0.9866,0.0006,0.953,0.0198
